name,description
Sac Feminists,"<p>Feminists come here to connect, find safe space, educate themselves, and educate each other on feminist issues. <br></p>
<p>We put on unique events for members of Sac Feminists, and we also cross-post events from other local progressive organizations so that members can see a lot of opportunities to get involved and connect. <br></p>
<p>If you have an idea for a meetup, get in touch with the organizers. <br></p>
<p>(In order to be approved as a member, you must answer the profile questions and have a picture of your face in your profile.) <br></p>
<p> <br></p>
<p> <br></p>"
The Humanist Connection: Serving Silicon Valley,"<p><img src=""http://photos3.meetupstatic.com/photos/event/6/a/6/a/event_291087242.jpeg""></p>
<p><strong>The Humanist Connection</strong> seeks to build, educate, and nurture a diverse community of Atheists, Humanists, Agnostics in Silicon Valley. We accomplish this by hosting a variety of events, including public lectures from luminaries such as Richard Dawkins (Oct. '12, '13), day trips such as our excursion to the San Francisco Film Festival ('12, '13), pub nights, barbecues, dinners, art gallery visits, discussion meetings, and tailgate parties. If you're a non-believer, an agnostic, or even a doubting religious person, and you're looking for intellectual stimulation, come join our bright, vibrant group in Silicon Valley. Check out&nbsp;<a href=""http://www.facebook.com/humanistconnection"">facebook.com/humanistconnection</a> for more info.</p>"
Oakland Social Justice Books and Beer,"<p>This is a group for anyone interested in building community while reading awesome books. We'll primarily be reading books with social justice themes, or books by authors who often get left out of mainstream book clubs. I started the group because I'm new to the Bay and want to meet other folks interested in building community through intentional dialogue. Beer, wine, or the beloved mimosa will always be an option at meet ups. Book club meetings will happen once a month, but once we get started, other fun non-book related events throughout the month are always welcome! People of any &amp; all identities welcome. Only read part of the book? Come anyways and participate in the discussion, we all have something to say about the subjects!</p>"
Libertarian Party of Sacramento County,"If you support liberty and demand socially tolerant, fiscally responsible government, join our group and help us spread libertarian principles throughout Sacramento County. We welcome all who want real change in government, instead of the continuing encroachment and control of our current state."
Association for India's Development Bay Area Chapter,"<p>We are a group of people compassionate about the problems and issues that many of the underprivileged people in India face everyday and we believe that with our help they can overcome the problems. We support grassroots non-profits in India in all spheres including education, environment, agriculture, women's rights as we believe that all these problems are interconnected and they need to be addressed holistically. Join us if you share the same belief and want to contribute some of your personal time towards this.</p>
<p>Association for India's Development is the organization we are part of which has close to 40 chapters across USA. Visit <a href=""http://www.aidindia.org"" class=""linkified"">http://www.aidindia.org</a> to know more about AID and <a href=""http://bayarea.aidindia.org"" class=""linkified"">http://bayarea.aidindia.org</a> to know more about the Bay Area Chapter.</p>"
Libertarian Party of Sacramento County: Folsom Group,"<p>If you support liberty and demand socially tolerant, fiscally responsible government, join our group and help us spread libertarian principles throughout Sacramento County. We welcome all who want real change in government, instead of the continuing encroachment and control of our current state.</p>
<p><a href=""http://www.lpsac.com"">The Libertarian Party of Sacramento County</a><br>

</p>
<p><br>

</p>"
Raising children without gender stereotyping,"<p>Calling all parents/caretakers who are interested in raising their children as free from gender stereotyping as possible. We will get together to share research studies, books, and personal experiences that prove the benefits of this style of parenting. You will meet like-minded parents/caretakers and get an intellectual and emotional boost to do the parenting that matters to you. You will also be part of a growing parenting movement.</p>"
San Francisco FRIENDS OF TIBET Meetup,"This is a group for anyone interested  the study, promotion of, have interest in, and actively preserving Tibetan culture in all its aspects; educate the general public in matters pertaining to Tibet and the Tibetan people; and to provide assistance to Tibetans. We  believe in universal human rights, social justice, human dignity and peace. The public is invited join us."
San Francisco / Bay Area - Basic Income Meetup,"<p>The goal of the Basic Income Guarantee is to create income sufficient to cover basic needs, given directly to individuals, universally and unconditionally. This simultaneously abolishes poverty, eliminates complicated bureaucracies, grants economic security in an age of increasing workplace automation, and frees individuals to engage in work of their own choice.<br></p>
<p>This group is for anyone interested in helping to push this idea into reality.</p>"
Concord Social and Economic Equity Meetup,"This is a group for anyone who is concerned about increasing social and economic inequalities in the U.S. and wants to do something to change it. Neto Community Network is a nonprofit organization that sponsors this group. This is a chance to meet other people who care about any aspect of equality--economic, educational, health, gender, or other forms of social equity. The more diverse the perspectives and interests, the more fun and interesting the group is. The format varies with the ideas participants bring-watching movies, talking about stuff you've read, discussing your own experience. We urge people to share food and drink, and have a great time getting to know like-minded people from all kinds of backgrounds, and discussing and working on these fascinating and important issues."
Tech Workers Coalition,"<p>We are a coalition of workers in and around the tech industry, labor organizers, community organizers, and friends. Find out more at <a href=""https://techworkerscoalition.org"">https://techworkerscoalition.org</a>. <br></p>
<br>"
My Community's Keeper!,"<p>My Community's Keeper is a group of people Stepping Up and Doing Something about positive and negative issues that affect African American's lives and well being, in communities near and far. This group is open to males and females of all ages and races. The main focus of our group is to build strong communities and relationships to swiftly and properly address injustices and celebrations as a supportive group. We will create safe spaces for the community to express issues that affect African Americans and other communities that experience injustices or ignored celebrations in that community. <br></p>
<p>Our mission is to help empower African Americans in finding resolutions and solutions in solving issues in African American communities, schools, jails, families, homes, businesses, jobs, etc...... My Community's Keeper will work to better all people and learn how to give and get help from other people from different races, religions and backgrounds.&nbsp; <br></p>
<p>We will be seeking to improve all lives while building a Strong African American Community that empowers all.&nbsp; My Community's Keeper, is the Soul, Strength and Support of a Grassroots non-profit organization called Step Up And Do Something! Inc. (<a href=""http://www.stepupanddosomething.org/"" class=""linkified"">http://www.stepupanddosomething.org/</a>). Our goal is to provide resources and support for African Americans through tons of hubs throughout different communities.&nbsp; The resources and information that help support and empower African Americans in a positive way, will be the programs and projects we develop for Step Up and Do Something, Inc.&nbsp; <br></p>
<p>Please join us and start a program or project under the 501c3 nonprofit and help reshape our communities the way we want them.&nbsp; Training on how to start your own non-profit sponsored by Step Up and Do Something and Grant Writing is on the last Saturday of each month from 4pm to 6pm at Hillview Library, 1600 Hopkins Drive, San Jose&nbsp; CA. 95122.&nbsp; Please RSVP and let us know what community resources you would like in our communities or which project or program you would like to develop and run as a non-profit Step! to Step Up and Do Something! Inc. <br></p>"
Berkeley Social Justice Meetup,"<p>This group is for individuals interested in getting together to discuss economic, social and racial justice, through a variety of activities - book discussions, current events, movie attendance and discussion. A safe place to provide discourse on what is happening in the world around us, a chance for all participants to meet equally minded and diverse individuals to elicit stimulating, intellectual conversation and new perspectives. As a new group the goal is to organically grow this community to fit the wants and needs of those in attendance. Let's grow this group together. If there is enough interest then perhaps we can spend the first few meetings creating a framework for future gatherings.&nbsp;</p>"
Global Poverty and Hunger Alleviation - Art and Action,"<p>This is a group for anyone interested in global poverty and hunger alleviation. Global Poverty and Hunger is the world's biggest solvable problem. No one can do this alone. We need everyone's help - whether you're a single person interested helping out, a couple, a small group, or a large organization. Everyone is welcome. If you're an organization with similar mission to ours -- let's join forces and become even stronger together! We'll work to change the world, one step at a time. We're going to be doing a combination of education, advocacy, and fundraising, as well as mobilization of action through community organizing and involvement of the arts. We'll teach about the subject in classrooms. We'll have Lunch and Learns benefitting the United Nations World Food Program USA. We'll meet with our congress members to advocate. We'll petition. We'll have an arts component, using Dance and Film among other mediums of art to raise awareness of global hunger. We'll host Dance performance showcases to fundraise -- <br>using Dance from all over the world as a way to create a collaborative voice in partnership with those in developing countries and to give light to those who face hunger and poverty in their daily lives. We'll create short films and feature films to raise awareness.&nbsp;</p>
<p>I absolutely admire all the help that charities do to help communities struggling to overcome natural disaster, conflict and poverty. I do believe that countries in poverty must learn to support and sustain themselves in the long run, in addition to receiving emergency aid. Therefore, we'll also focus on programs fostering sustainability, helping communities build vital infrastructure to feed themselves. We'll aim to help communities with organization to stand up for their rights as well in order to mobilize change. Sounds like something you want to do? Join us!</p>"
Stockton Buddhism for Peace Meetup,"<p>A peaceful world can only exist if people are happy. Through our practice of Nichiren Buddhism, we awaken to the dignity and power that reside WITHIN us and TRANSFORM ourselves on the DEEPEST level. We are the Soka Gakkai (value creation) lay organization who chant Nam Myoho Renge Kyo, we reveal our inherent Buddha nature which permeates all aspects of our lives, environment and the entire universe. As a result, we experience positive changes and undergo a PROFOUND process of SELF-TRANSFORMATION called Human Revolution, which becomes the FOUNDATION for lasting happiness and we want to SHARE with OTHERS.. SGI President Ikeda says ""A great human revolution in JUST a SINGLE individual will help achieve a CHANGE in the destiny of a NATION and further, will enable a CHANGE in the DESTINY of ALL Humankind. If you want to find out how YOU can make a difference, please join us in dialogue and an Introduction to Buddhism for Peace Meet Up.</p>"
Let us fix our Rotten Justice System,"<p>Are you of the opinion 1. America has a legal system but not a Justice system ?</p> 
<p>2. Are you disgusted by Stanford rapist getting away with 3 months in prison while people are serving longer time for smoking weed ?</p> 
<p>3. Are you disgusted by the racial discrimination in our Justice system and that black men are shot and killed for no reason or imprisoned disproportionately ?</p> 
<p>4. Are you disgusted with all those men that call themselves public prosecutor's and talk about being tough on crime but who routinely over charge and force people to plead guilty to crimes they might not have committed just to improve their ratings ?</p> 
<p>5. Are you of the opinion America's criminal justice system is completely broken ?</p> 
<p>6. Have you or any of your friend's and family been affected by the corrupt Judges and total miscarriage of Justice ?</p> 
<p>7. Do you think American Justice system is run by greedy attorney's and there is no Justice ?</p> 
<p>Do you want to do something about it ?</p> 
<p>Let us join hands and bring some Justice in America.</p> 
<p>There are a lot of organizations but we need more People Power.</p>"
Reproductive Justice Reading Group,"<p>We are a reading group dedicated to understanding how our culture oppresses women by controlling their reproductive lives. Issues to be discussed include access to sex education, contraception and abortion, as well as reproductive healthcare, parental leave, and affordable childcare. We will also discuss social pressures to have or not have children, silence around abortion, miscarriage and infertility, and pressures upon women to engage in ever-more ""intensive mothering."" We will explore these issues from a variety of perspectives, acknowledging that that they impact women of different racial identities, classes, and sexual identities in different ways. We also acknowledge that different groups of women have vastly different histories of experiencing reproductive oppression.</p>"
UNA-SF Womens Committee,<p>Welcome to all who are passionate about human rights issues. We will gather together each month to engage in interactive dialogue concerning the upcoming CEDAW women &amp; human rights conference held annually in New York in March. How can we better engage our communities to rise up and eliminate all forms of violence against women and children worldwide?</p>
Concord SB-18 Listening Session: Children's Bill of Rights,"<p>Common Sense Kids Action has been working to make kids our state and nation's top priority. We need a vision to accomplish this goal, one that defines what every child in California has the right to expect, regardless of gender, race, ethnicity, religion, immigration status, or ability. And then we will need to hold our elected officials -- and ourselves -- accountable for making it happen. That's where we need YOU. The Bill of Rights for Children and Youth outlines the health, safety, well-being, early childhood and educational opportunities, and family supports we believe are necessary for all children to succeed and thrive. SB 18 will serve as a rallying point for a statewide conversation about what we must do to help our kids.</p> 
<p>Common Sense Kids Action is collaborating with Senator Pan to host conversations statewide with parents and children's advocates like you. Input from those conversations will be used to add important details to the framework of SB 18 that help shape this important vision. Please join us.</p>"
SB-18 Listening Sessions: Bill of Rights for CA Kids,"<p>Common Sense Kids Action has been working to make kids our state and nation's top priority. We need a vision to accomplish this goal, one that defines what every child in California has the right to expect, regardless of gender, race, ethnicity, religion, immigration status, or ability. And then we will need to hold our elected officials -- and ourselves -- accountable for making it happen. That's where we need YOU.</p> 
<p>The Bill of Rights for Children and Youth outlines the health, safety, well-being, early childhood and educational opportunities, and family supports we believe are necessary for all children to succeed and thrive. SB 18 will serve as a rallying point for a statewide conversation about what we must do to help our kids.</p> 
<p>Over the next year, Common Sense Kids Action is hosting conversations statewide with parents and children's advocates like you. Input from those conversations will be used to add important details to the framework of SB 18 that help shape this important vision. Please join us and help us make California Kids a top priority.</p>"
San Jose Political Activism Meetup,"<p>People that are interested in holding our elected leaders accountable, upholding our constitution, improving civil rights for everyone, and eschewing various forms of discrimination, including, but not limited to racism, xenophobia, sexism, misogyny, homophobia, and bigotry. People that are socially liberal (civil rights, common sense regulation, abortion rights, marriage equality), fiscally conservative (reduced spending and national debt, balanced budget, limited government), and believe in American exceptionalism (democratic principles, free but fair trade, legal immigration, and a land of laws).</p>"
#TheResistance San Francisco,"<p>Trump is #NotOurPresident - We are #TheResistance! We will organize and promote peaceful protests (We have <b>ZERO tolerance</b> <b>for violence</b> <b>or property damage</b>) and LOUDLY speak out against Trump. He does not speak for us - WE speak for us.</p>
<p>Bring cough drops, water, colorful protest signs, and an appetite for fun, peaceful, loving, PROTEST! We're on the right side of history and we WILL win! <br></p>"
#Resist: Salinas,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Monterey,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Burlingame,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Daly City,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Los Altos,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Menlo Park,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Mountain View,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Pacifica,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Redwood City,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: San Bruno,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: San Carlos,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: South San Francisco,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Sunnyvale,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: San Francisco,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Sacramento,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Palo Alto,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Stanford,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
