name,description,topics
Natural Remedies and Nutritional Healing,"<p>This is a group for anyone interested in staying healthy, getting healthy, and healing from illness or disease by using natural methods and nutrition such eating Raw and Vegan (whole plant foods), and by Juicing and drinking Smoothies, I am starting this group because so many of my friends and family members have had serious diseases like cancer and pre or type 2 diabetes. I would like to learn what others know and I would like to share what I have learned about healthy nutrition and natural remedies.</p>","[{u'name': u'Vegan', u'urlkey': u'vegan', u'id': 408}, {u'name': u'Walking', u'urlkey': u'walkers', u'id': 933}, {u'name': u'Diabetes', u'urlkey': u'diabetes', u'id': 1482}, {u'name': u'Whole Food Nutrition', u'urlkey': u'wholefood', u'id': 5951}, {u'name': u'Detoxification', u'urlkey': u'detox', u'id': 7854}, {u'name': u'Nutrition', u'urlkey': u'nutrition', u'id': 10161}, {u'name': u'Wellness', u'urlkey': u'wellness', u'id': 10306}, {u'name': u'Vegan Education', u'urlkey': u'vegan-education', u'id': 19488}, {u'name': u'Cancer and Nutrition', u'urlkey': u'cancer-and-nutrition', u'id': 21272}, {u'name': u'Raw Vegan', u'urlkey': u'raw-vegan', u'id': 24509}, {u'name': u'Cancer Fighters', u'urlkey': u'cancer-fighters', u'id': 26923}, {u'name': u'Green Smoothies', u'urlkey': u'green-smoothies', u'id': 71720}, {u'name': u'Smoothies', u'urlkey': u'smoothies', u'id': 127255}, {u'name': u'Green Juice', u'urlkey': u'green-juice', u'id': 718632}, {u'name': u'Whole Plant Based Foods', u'urlkey': u'whole-plant-based-foods', u'id': 1511429}]"
East Bay Tiny House Enthusiasts,"<p>This Meetup is a tool for people to schedule and organize builds of tiny houses in the East Bay. Members can volunteer their time to help each other design and construct tiny houses, gaining valuable knowledge and practical experience in the process. <br> <br> Sometimes we also get together just to talk tiny and meet each other. Topics of interest might include budgeting, rain catchment, managing humanure, solar power, alternative building methods like cob, building with recycled materials, and much more. We think you'll find it's inspiring and energizing to befriend and network with other passionate tiny house enthusiasts! <br> <br> Anyone can join and attend a Meetup or schedule their own event, so don't be shy whether you need help making your tiny house dream a reality, or just want to dip in a toe to see what's what. Come participate! You're among friends. <br> <br> This group was founded by Lauren M. and is co-organized by Sienna W. (who is currently mid-build!) and Alexandra H. All events are free to attend, but we do have to pay Meetup.com $144 a year to keep it running, so small donations every so often to offset that cost are appreciated.</p>","[{u'name': u'Natural Building', u'urlkey': u'naturalbuilding', u'id': 2582}, {u'name': u'Green Home', u'urlkey': u'greenhome', u'id': 5915}, {u'name': u'Construction', u'urlkey': u'construction', u'id': 9401}, {u'name': u'Green Building', u'urlkey': u'green-building', u'id': 16817}, {u'name': u'Living Off The Grid', u'urlkey': u'living-off-the-grid', u'id': 23187}, {u'name': u'Green Creative Solutions: Beyond Recycled Paper', u'urlkey': u'green-creative-solutions-beyond-recycled-paper', u'id': 86344}, {u'name': u'Surviving Off the Land and Grid', u'urlkey': u'surviving-off-the-land-and-grid', u'id': 90607}, {u'name': u'Tiny House', u'urlkey': u'tiny-house', u'id': 127405}, {u'name': u'Rainwater Catchment and Storage', u'urlkey': u'rainwater-catchment-and-storage', u'id': 147406}, {u'name': u'Grey Water Design & Installation', u'urlkey': u'grey-water-design-installation', u'id': 147407}, {u'name': u'Small House Living', u'urlkey': u'small-house-living', u'id': 165669}, {u'name': u'Small House Design', u'urlkey': u'small-house-design', u'id': 165670}, {u'name': u'Off Grid Living', u'urlkey': u'off-grid-living', u'id': 679902}, {u'name': u'Small House', u'urlkey': u'small-house', u'id': 1146382}, {u'name': u'little house', u'urlkey': u'little-house', u'id': 1146412}]"
San Francisco Green Giants,"<p>A meet up created for green professionals,<span>&nbsp;manufacturers to collaborate and empower the SF Bay area transitioning to a Sustainable Eco-friendly Healthy Lifestyle</span></p>
<p>If you missed our first meet up Join Us for the Next one on EarthDay April 22nd.</p>
<p>Our Focus Groups will work on <br><i>Green Buildings <br>Sustainable Transportation <br>Renewable Energy <br>Green Products <br>Manufacturing Processes <br>Energy Water Home Management <br>Social Awareness Gaming <br>Behavior Sciences <br>Sustainable Organic Agriculture <br>Recycling Reusing Products&nbsp; <br>Non-Toxic Daily Household Items <br>Naturally Derived Products <br>Alternative Medicines <br>Textiles Clothing Other Goods <br>Environment Studies</i> <br></p>","[{u'name': u'Environment', u'urlkey': u'environment', u'id': 89}, {u'name': u'Small Business', u'urlkey': u'smallbiz', u'id': 389}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Healthy Living, whole foods, organic foods,', u'urlkey': u'healthy-living-whole-foods-organic-foods', u'id': 22831}, {u'name': u'Green Entrepreneurs', u'urlkey': u'green-entrepreneurs', u'id': 23538}, {u'name': u'Non-Toxic Green Products', u'urlkey': u'non-toxic-green-products', u'id': 38078}, {u'name': u'Clothing and Fashion Designers', u'urlkey': u'clothing-and-fashion-designers', u'id': 71747}, {u'name': u'Container Gardening', u'urlkey': u'container-gardening', u'id': 81181}, {u'name': u'green cleaning', u'urlkey': u'green-cleaning', u'id': 134826}, {u'name': u'recycle clothes /reuse clothes', u'urlkey': u'recycle-clothes-reuse-clothes', u'id': 168410}]"
Tri-Valley Vegan Families,"<p>A place where our kids can meet and interact with other vegan kids :) My six year old is pretty bummed about being the only vegan kid on the planet. Would like to show her there are plenty others. I figure we can meet up at parks for potlucks or just play time. We can also discuss vegan problems, like planning lunches without nuts :) All ages welcome, I also have a vegan baby.</p>","[{u'name': u'Vegan', u'urlkey': u'vegan', u'id': 408}, {u'name': u'Animal Rights', u'urlkey': u'animalrights', u'id': 2349}, {u'name': u'Playdates', u'urlkey': u'playgroup', u'id': 9853}, {u'name': u'Environment, Green, Kids, Parents, Moms, Dads', u'urlkey': u'environment-green-kids-parents-moms-dads', u'id': 17016}, {u'name': u'Vegan Education', u'urlkey': u'vegan-education', u'id': 19488}, {u'name': u'Plant-Based Nutrition', u'urlkey': u'plant-based-nutrition', u'id': 19490}, {u'name': u'Vegetarian Kids', u'urlkey': u'vegetarian-kids', u'id': 22186}, {u'name': u'Vegan Kids', u'urlkey': u'vegan-kids', u'id': 22187}, {u'name': u'Vegetarian Families', u'urlkey': u'vegetarian-families', u'id': 22190}, {u'name': u'Natural Parenting', u'urlkey': u'natural-parenting', u'id': 23428}, {u'name': u'Vegan Potlucks and Dineouts', u'urlkey': u'vegan-potlucks-and-dineouts', u'id': 74670}, {u'name': u'Vegan and Vegetarian Dish Parties and Dinners', u'urlkey': u'vegan-and-vegetarian-dish-parties-and-dinners', u'id': 81222}, {u'name': u'Vegan Families', u'urlkey': u'vegan-families', u'id': 105698}, {u'name': u'Green Parenting', u'urlkey': u'green-parenting', u'id': 108569}, {u'name': u'Vegan Parenting', u'urlkey': u'vegan-parenting', u'id': 155867}]"
SV Home Remodeling Meetup,"<p>For homeowners thinking about starting a renovation project - you can find your remodeling mentor. And for homeowners who have a remodeling experience they want to share - become a remodeling mentor. <br>How to start a remodel? How to navigate building codes and permits? How to find a good contractor? And ultimately, how to get from a newbie remodeling level to PRO without making newbie's mistakes on your first remodel. <br>Looking forward to exploring remodeling options together. We do not care about the budget of your remodel, we do care about the remodeling process and its result to be enjoyed. Meetup topics will be guided by members interests and priorities. Monthly or as needed by members.</p>","[{u'name': u'Architecture', u'urlkey': u'architecture', u'id': 1737}, {u'name': u'Home Remodeling', u'urlkey': u'homeremodel', u'id': 2538}, {u'name': u'Construction', u'urlkey': u'construction', u'id': 9401}, {u'name': u'Home Improvement', u'urlkey': u'home-improvement', u'id': 22171}, {u'name': u'How do I start my remodeling project?', u'urlkey': u'how-do-i-start-my-remodeling-project', u'id': 56582}, {u'name': u'Green Remodeling', u'urlkey': u'green-remodeling', u'id': 93494}, {u'name': u'Remodeling and Repair', u'urlkey': u'remodeling-and-repair', u'id': 104529}]"
Sustainability Professionals Meet Up,"<p>Informal meet up to discuss sustainability, environmental practices, company culture, supply chains, zero waste, and all other adventures in sustainable development. This group is tailored towards sustainability professionals or those who drive sustainable change at work or in the community.</p>","[{u'name': u'Social', u'urlkey': u'social', u'id': 10581}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Sustainability', u'urlkey': u'sustainability', u'id': 15998}, {u'name': u'Zero Waste', u'urlkey': u'zero-waste', u'id': 18905}, {u'name': u'sustainable living', u'urlkey': u'sustainable-living', u'id': 24535}, {u'name': u'Creative Sustainable Economy', u'urlkey': u'creative-sustainable-economy', u'id': 26646}, {u'name': u'Going Green', u'urlkey': u'going-green', u'id': 37812}, {u'name': u'Sustainable Development', u'urlkey': u'sustainable-development', u'id': 47570}, {u'name': u'LEED:  Leadership in Energy & Environmental Design', u'urlkey': u'leed-leadership-in-energy-environmental-design', u'id': 74054}, {u'name': u'GO Green Save GREEN Make GREEN', u'urlkey': u'go-green-save-green-make-green', u'id': 226521}, {u'name': u'Green Jobs and Green Development', u'urlkey': u'green-jobs-and-green-development', u'id': 1053602}]"
SF Bay Area Packers Fans,"<p>Watch the Green Bay Packers with other Cheeseheads! We are an open group dedicated to gathering at Packers Bars across the Bay Area (San Francisco, Oakland, San Jose, etc.). New to town, or visiting on vacation, we'll let you know what bars and pubs are dedicated to the Green and Gold!</p>","[{u'name': u'NFL Football', u'urlkey': u'nflfootball', u'id': 57}, {u'name': u'Green Bay Packers', u'urlkey': u'packers', u'id': 58}, {u'name': u'Soccer', u'urlkey': u'soccer', u'id': 947}, {u'name': u'New In Town', u'urlkey': u'newintown', u'id': 1273}, {u'name': u'Sports and Socials', u'urlkey': u'sports-and-socials', u'id': 17555}, {u'name': u'Pubs and Bars', u'urlkey': u'pubs-bars', u'id': 19195}, {u'name': u'San Francisco Bay Area', u'urlkey': u'san-francisco-bay-area', u'id': 20065}, {u'name': u'Green Bay', u'urlkey': u'green-bay', u'id': 40481}, {u'name': u'Cheeseheads', u'urlkey': u'cheeseheads', u'id': 52666}, {u'name': u'Wisconsin Badgers', u'urlkey': u'wisconsin-badgers', u'id': 112817}, {u'name': u'Watching the Packers on Sunday', u'urlkey': u'watching-the-packers-on-sunday', u'id': 366391}, {u'name': u'Wisconsin Football', u'urlkey': u'wisconsin-football', u'id': 385461}, {u'name': u'Packer Fans', u'urlkey': u'packer-fans', u'id': 1499762}]"
San Francisco & Bay Area Green Bay Packers Meetup,"<p><span>This is a meetup group for all Green Bay Packer fans living in the Bay Area (San Francisco, Oakland/East Bay, North Bay, Peninsula &amp; San Jose). Each game day (Sunday, Monday, Thursday and naturally the playoffs) we'll meet at The HA-RA Club (</span><span>875 Geary St, San Francisco</span><span>) to cheer on the Green Bay Packers. &nbsp;</span><span>GO PACK GO!</span></p>
<p>Be sure to like our Facebook meetup page too!&nbsp;<a href=""https://www.facebook.com/bayareapackattack"" class=""linkified"">https://www.facebook.com/bayareapackattack</a></p>
<p>If you're passionate and enthusiastic about the Packers and want to help grow this Meetup to be the number one location for Packers fans in the Bay Area please let us know. We're looking for organizers to help build this into one of the largest and well known Packer groups in the country.&nbsp;</p>","[{u'name': u'NFL Football', u'urlkey': u'nflfootball', u'id': 57}, {u'name': u'Green Bay Packers', u'urlkey': u'packers', u'id': 58}, {u'name': u'Soccer', u'urlkey': u'soccer', u'id': 947}, {u'name': u'University of Wisconsin', u'urlkey': u'university-of-wisconsin', u'id': 18447}, {u'name': u'American Football', u'urlkey': u'american-football', u'id': 37335}, {u'name': u'NFL Sunday', u'urlkey': u'nfl-sunday', u'id': 43636}, {u'name': u'Great Green Bay Packers Win Sunday Night', u'urlkey': u'great-green-bay-packers-win-sunday-night', u'id': 47108}, {u'name': u'Cheeseheads', u'urlkey': u'cheeseheads', u'id': 52666}, {u'name': u'Watching Sports', u'urlkey': u'watching-sports', u'id': 79584}, {u'name': u'Wisconsin Badgers', u'urlkey': u'wisconsin-badgers', u'id': 112817}, {u'name': u'University of Wisconsin Alumni', u'urlkey': u'university-of-wisconsin-alumni', u'id': 112820}, {u'name': u'Watching the Packers on Sunday', u'urlkey': u'watching-the-packers-on-sunday', u'id': 366391}, {u'name': u'Wisconsin Football', u'urlkey': u'wisconsin-football', u'id': 385461}, {u'name': u'NFL Football Fans', u'urlkey': u'nfl-football-fans', u'id': 411202}, {u'name': u'Packer Fans', u'urlkey': u'packer-fans', u'id': 1499762}]"
Digital Homesteading,"Let's use technology to live 'bright green' lives! This group is for sharing tools to live more sustainably, including but not limited to: -growing more food on less land through permaculture design -using low-cost electronics to automate your garden -building 'shared ownership' systems to pool resources All skill levels are welcome; just be ready to learn and share!","[{u'name': u'Gardening', u'urlkey': u'gardening', u'id': 234}, {u'name': u'Open Source', u'urlkey': u'opensource', u'id': 563}, {u'name': u'Dumpster Diving', u'urlkey': u'dumpsterdiving', u'id': 1781}, {u'name': u'Permaculture', u'urlkey': u'permaculture', u'id': 2527}, {u'name': u'Hydroponics', u'urlkey': u'hydroponics', u'id': 10828}, {u'name': u'Aquaponics', u'urlkey': u'aquaponics', u'id': 10835}, {u'name': u'Sustainability', u'urlkey': u'sustainability', u'id': 15998}, {u'name': u'Self-Sufficiency', u'urlkey': u'self-sufficiency', u'id': 16025}, {u'name': u'Foraging', u'urlkey': u'foraging', u'id': 17664}, {u'name': u'Homesteading', u'urlkey': u'homesteading', u'id': 18527}, {u'name': u'Organic Gardening', u'urlkey': u'organic-gardening', u'id': 20465}, {u'name': u'DIY Green', u'urlkey': u'diy-green', u'id': 90005}, {u'name': u'Automation', u'urlkey': u'automation', u'id': 93380}, {u'name': u'DIY Technology', u'urlkey': u'diy-technology', u'id': 153215}, {u'name': u'Vertical Gardening', u'urlkey': u'vertical-gardening', u'id': 696422}]"
Sustainability Professionals Meet Up,"<p>Informal meet up to discuss sustainability, environmental practices, company culture, supply chains, zero waste, and all other adventures in sustainable development. This group is tailored towards sustainability professionals or those who drive sustainable change at work or in the community.</p>","[{u'name': u'Social', u'urlkey': u'social', u'id': 10581}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Sustainability', u'urlkey': u'sustainability', u'id': 15998}, {u'name': u'Zero Waste', u'urlkey': u'zero-waste', u'id': 18905}, {u'name': u'sustainable living', u'urlkey': u'sustainable-living', u'id': 24535}, {u'name': u'Creative Sustainable Economy', u'urlkey': u'creative-sustainable-economy', u'id': 26646}, {u'name': u'Going Green', u'urlkey': u'going-green', u'id': 37812}, {u'name': u'Sustainable Development', u'urlkey': u'sustainable-development', u'id': 47570}, {u'name': u'LEED:  Leadership in Energy & Environmental Design', u'urlkey': u'leed-leadership-in-energy-environmental-design', u'id': 74054}, {u'name': u'GO Green Save GREEN Make GREEN', u'urlkey': u'go-green-save-green-make-green', u'id': 226521}, {u'name': u'Green Jobs and Green Development', u'urlkey': u'green-jobs-and-green-development', u'id': 1053602}]"
Sacramento Backyard Poultry Group,"<p>The Sacramento Backyard Poultry Meetup Group is for people who have small backyard flocks of&nbsp;poultry for pets, eggs, and meat.</p>
<p>You just might be suprised at how many people living in your neighborhood have pet chickens!</p>
<p>There is nothing quite like walking outside in the morning to gather fresh organic eggs for your breakfast!</p>
<p>We welcome everyone that has a small backyard flock of poultry, and those that are interested in getting started.</p>
<p>We get together most&nbsp;every month at our ""Poultry People"" meetings.</p>
<p>We are ""eggcited"" you have visited with us today, and hope you will consider joining our group!</p>","[{u'name': u'Environment', u'urlkey': u'environment', u'id': 89}, {u'name': u'Gardening', u'urlkey': u'gardening', u'id': 234}, {u'name': u'Permaculture', u'urlkey': u'permaculture', u'id': 2527}, {u'name': u'New Urbanism', u'urlkey': u'newurbanism', u'id': 3135}, {u'name': u'Pet Chicken', u'urlkey': u'chicken', u'id': 6808}, {u'name': u'Farm Animals', u'urlkey': u'farmanimals', u'id': 10511}, {u'name': u'Sustainability', u'urlkey': u'sustainability', u'id': 15998}, {u'name': u'Eco-Conscious', u'urlkey': u'eco-conscious', u'id': 16816}, {u'name': u'Urban chickens', u'urlkey': u'urban-chickens', u'id': 18413}, {u'name': u'Chickens', u'urlkey': u'chickens', u'id': 18524}, {u'name': u'Homesteading', u'urlkey': u'homesteading', u'id': 18527}, {u'name': u'Backyard Poultry', u'urlkey': u'backyard-poultry', u'id': 22164}, {u'name': u'Sustainable Development', u'urlkey': u'sustainable-development', u'id': 47570}, {u'name': u'City Chickens', u'urlkey': u'city-chickens', u'id': 60225}, {u'name': u'Community Gardening', u'urlkey': u'community-gardening', u'id': 74771}, {u'name': u'Urban Farming', u'urlkey': u'urban-farming', u'id': 79173}]"
ForageCoCo,"<p>Hi! I am starting this group in the hopes of finding some fellow foragers and urban gleaners to go on some outings with out here in Contra Costa and in the East Bay.&nbsp;</p>
<p>&nbsp;</p>
<p><span>We will forage for wild edibles fruits and vegetables, fungi, and wild herbs and greens.&nbsp;</span> <span>We will research and plan outings for foraging in public lands and parks, untended residential lots, and whatever other fruit we can gain access to without violating good etiquette and ethics.&nbsp;</span></p>
<p><span><br>

 Note: Due to the logistics and such of organizing events, if you have you status as coming and you do not show, it makes thing very difficult for the organizer. If this happens three times you will be removed from the group. You'll be able to join again, but please try to show when your status indicates you will.<br>

</span></p>
<p>&nbsp;</p>
<p><span><br>

</span></p>","[{u'name': u'Hiking', u'urlkey': u'hiking', u'id': 638}, {u'name': u'Walking', u'urlkey': u'walkers', u'id': 933}, {u'name': u'Mycology', u'urlkey': u'mycology', u'id': 9814}, {u'name': u'Outdoors', u'urlkey': u'outdoors', u'id': 15046}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Herbs', u'urlkey': u'herbs', u'id': 16583}, {u'name': u'Eco-Conscious', u'urlkey': u'eco-conscious', u'id': 16816}, {u'name': u'Primitive Skills', u'urlkey': u'primitive-skills', u'id': 17662}, {u'name': u'Foraging', u'urlkey': u'foraging', u'id': 17664}, {u'name': u'Guerrilla Gardening', u'urlkey': u'guerrilla-gardening', u'id': 17999}, {u'name': u'Edible Wild Mushrooms', u'urlkey': u'edible-wild-mushrooms', u'id': 22094}, {u'name': u'Wild Foods', u'urlkey': u'wild-foods', u'id': 22095}, {u'name': u'Mushrooms', u'urlkey': u'mushrooms', u'id': 24768}, {u'name': u'Wild Edibles', u'urlkey': u'wild-edibles', u'id': 25489}, {u'name': u'Wilderness Medicine', u'urlkey': u'wilderness-medicine', u'id': 80804}, {u'name': u'Wild Edible Plant Recognition', u'urlkey': u'wild-edible-plant-recognition', u'id': 99468}]"
"Society of Garden Goddesses: Sustainable, Organic Gardening","<p>This group&nbsp;inspires&nbsp;women&nbsp;&amp; men in the kitchen &amp; &nbsp;garden! We have all levels of gardeners in the group and we love to share tips and ideas on how to make gardening fun and sustainable. We have a lot of fun and meet&nbsp;1-2 times per month&nbsp;for dinner and Garden Chats! Our members are in Sacramento, Grass Valley, Auburn, Nevada City and surrounding areas. Check out the last 180 events we have had to get an idea of what we do! Please invite your awesome, supportive, inspiring women &amp; men!</p>","[{u'name': u'Gardening', u'urlkey': u'gardening', u'id': 234}, {u'name': u'Raw Food', u'urlkey': u'rawfood', u'id': 1983}, {u'name': u'Permaculture', u'urlkey': u'permaculture', u'id': 2527}, {u'name': u'Home and Garden', u'urlkey': u'homeandgarden', u'id': 10469}, {u'name': u'Farmers Market', u'urlkey': u'farmersmarket', u'id': 10508}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Eco-Conscious', u'urlkey': u'eco-conscious', u'id': 16816}, {u'name': u'Cooking with Organics and Herbs', u'urlkey': u'cooking-with-organics-and-herbs', u'id': 17567}, {u'name': u'Organic Gardening', u'urlkey': u'organic-gardening', u'id': 20465}, {u'name': u'Urban Gardening', u'urlkey': u'urban-gardening', u'id': 22787}, {u'name': u'Edible Gardening', u'urlkey': u'edible-gardening', u'id': 34197}, {u'name': u'Raw Live Organic Food', u'urlkey': u'raw-live-organic-food', u'id': 37953}, {u'name': u'Community Gardening', u'urlkey': u'community-gardening', u'id': 74771}, {u'name': u'Backyard Gardening', u'urlkey': u'backyard-gardening', u'id': 95113}, {u'name': u'Backyard Vegetable Gardening', u'urlkey': u'backyard-vegetable-gardening', u'id': 105654}]"
Passive House California,"<p>Our organization was founded in early 2008 with the explicit goal of educating the California public about the <a href=""http://passiv.de/en/02_informations/02_passive-house-requirements/02_passive-house-requirements.htm"">Passive House Standard</a>. We have grown from a small group of dedicated professionals into a formal non-profit organization. We are proud to collaborate with members of the global Passive House movement and are directly connected to the <a href=""http://passiv.de/en/01_passivehouseinstitute/01_passivehouseinstitute.htm"">Passive House Institute</a> via our affiliation with the <a href=""http://www.passivehouse-international.org/index.php?page_id=249"">International Passive House Association</a>.</p>
<p>We believe that the most effective way to transform our built environment is through local and regional action. However, we actively share resources and strategies with fellow regional Passive House organizations through the <a href=""http://www.naphnetwork.org/"">North American Passive House Network.</a></p>
<p>The mission of Passive House California is to educate the public about the Passive House building performance standard to help create healthy, comfortable, durable, energy- and resource-efficient buildings and communities.</p>
<p>Please register as an official member of PHCA to support our mission here:</p>
<p><a href=""http://passivehousecal.org/memberships"">http://passivehousecal.org/memberships</a></p>
<p><span>For PHCA to list an event in any or all our official media outlets, it must satisfy the following criteria:</span></p>
<ul> 
 <p><span>the event must be directly applicable and useful to PHCA members</span></p> 
 <p><span>if there is a charge, the event must offer a discounted attendance fee for PHCA members.</span></p> 
 <p><span>the event should be approved for posting by at least two members of the currently seated PHCA Board</span></p> 
 <p><span>if the event is hosted by another local organization, it must agree to</span> <span>reciprocate posting of PHCA events that meet these same criteria.</span></p> 
 <p><span>events that do not meet all the above criteria, but are still of interest to PHCA members and supporters will be included in our Newsletters under the 'Other Events' segment.</span></p> 
</ul>
<p>To submit an event for posting, please send details to:</p>
<p>events@passivehousecal.org</p>","[{u'name': u'Architecture', u'urlkey': u'architecture', u'id': 1737}, {u'name': u'Green Home', u'urlkey': u'greenhome', u'id': 5915}, {u'name': u'Construction', u'urlkey': u'construction', u'id': 9401}, {u'name': u'Farmers Market', u'urlkey': u'farmersmarket', u'id': 10508}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Sustainable Energy', u'urlkey': u'sustainable-energy', u'id': 15849}, {u'name': u'Climate Change', u'urlkey': u'climate-change', u'id': 16530}, {u'name': u'Eco-Conscious', u'urlkey': u'eco-conscious', u'id': 16816}, {u'name': u'Green Building', u'urlkey': u'green-building', u'id': 16817}, {u'name': u'Renewable Energy', u'urlkey': u'renewable-energy', u'id': 16902}, {u'name': u'Energy Efficiency', u'urlkey': u'energy-efficiency', u'id': 18083}, {u'name': u'Green Entrepreneurs', u'urlkey': u'green-entrepreneurs', u'id': 23538}, {u'name': u'Passive House', u'urlkey': u'passive-house', u'id': 59974}, {u'name': u'High Performance Building', u'urlkey': u'high-performance-building', u'id': 70700}, {u'name': u'Energy Efficient Design', u'urlkey': u'energy-efficient-design', u'id': 128477}]"
SFFaMA Green's : Fashion Revolutionaries,"<p><img src=""https://secure.meetupstatic.com/photos/event/d/4/4/7/600_459234343.jpeg""></p>
<p><span>Welcome to SFFaMA Green, <a href=""https://www.sffama.org/"">SFFaMA's</a> green initiative....SFFaMA Green is a professional group for eco-conscious fashionistas + ecologically-minded consumers + green entrepreneurs &amp; green startups...&nbsp;</span><span>Our mission is to promote initiatives in fast-fashion education, eco tech, &amp; economic development.&nbsp;</span></p>
<p><span>Promote awareness in better living through sustainable practices and greener lifestyle choices..</span><span>.Connect with other professionals and innovators in the burgeoning green industry landscape...&nbsp;Focusing in on&nbsp;social responsibility in fashion, design &amp; technology. &nbsp;</span></p>
<p> <br></p>
<p> <br></p>","[{u'name': u'Fashionista', u'urlkey': u'fashionista', u'id': 918}, {u'name': u'Fashion Industry', u'urlkey': u'fashion', u'id': 1924}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Sustainability', u'urlkey': u'sustainability', u'id': 15998}, {u'name': u'Fashion and Style', u'urlkey': u'fashion-and-style', u'id': 16575}, {u'name': u'Eco-Conscious', u'urlkey': u'eco-conscious', u'id': 16816}, {u'name': u'Green Technology', u'urlkey': u'green-technology', u'id': 19556}, {u'name': u'Fashion Design', u'urlkey': u'fashion-design', u'id': 21437}, {u'name': u'Green Entrepreneurs', u'urlkey': u'green-entrepreneurs', u'id': 23538}, {u'name': u'Creative Sustainable Economy', u'urlkey': u'creative-sustainable-economy', u'id': 26646}, {u'name': u'Sustainable Community', u'urlkey': u'sustainable-community', u'id': 37926}, {u'name': u'Sustainable Development', u'urlkey': u'sustainable-development', u'id': 47570}, {u'name': u'Sustainable Social and Economic Development', u'urlkey': u'sustainable-social-and-economic-development', u'id': 47571}, {u'name': u'Sustainable Design', u'urlkey': u'sustainable-design', u'id': 58929}]"
Bay Area Swap-O-Rama-Rama,"<p>Swap-O-Rama-Rama (SORR) IS BACK! Once again Swap-o-Rama-Rama claims it's place as one of the largest Makers at Maker Faire in San Mateo the 3rd weekend in May. This monthly SWAP-n-SEW enables us to recruit new volunteers, expand our membership base, and enables it's current members to keep the heart of Swap-o-Rama-Rama going by helping the community explore creative disposal alternatives for used clothing. Our members show how rethinking the reuse, re-purposing and repairing of everyday textiles can, with a little creativity and ingenuity, have a meaningful impact to the waste stream. We encourage beginners to experts, young and old alike to come, and join us as we make a better future through resourcefulness. Membership is not mandatory but has it's perks! Bring a CLEAN bag of clothing to participate for a $1 or just a creative urge and $5 w/o a bag clothes, and a snack to share while we make the world better @ a PLACE for Sustainable Living near the Oakland/Emeryville boarder! &lt;br&gt;</p> 
<p>&lt;br&gt;</p> 
<p>Gandhi said, ""There is no beauty in the finest cloth if it makes hunger and unhappiness.""</p> 
<p>SORR is a volunteer operated &amp; community supported non-profit that happens because of your involvement. &lt;br&gt;</p>","[{u'name': u'Sewing', u'urlkey': u'sewing', u'id': 1111}, {u'name': u'Thrift Shoppers', u'urlkey': u'thriftshoppers', u'id': 2899}, {u'name': u'Clothing Swap', u'urlkey': u'clothesswap', u'id': 3479}, {u'name': u'Crafts', u'urlkey': u'craftswap', u'id': 10099}, {u'name': u'Creative Circle', u'urlkey': u'creativecircle', u'id': 10447}, {u'name': u'Handmade Crafts', u'urlkey': u'handmade-crafts', u'id': 16459}, {u'name': u'Eco-Conscious', u'urlkey': u'eco-conscious', u'id': 16816}, {u'name': u'Urban Sustainability', u'urlkey': u'urban-sustainability', u'id': 23009}, {u'name': u'Recycled Crafts', u'urlkey': u'recycled-crafts', u'id': 26027}, {u'name': u'Upcycle', u'urlkey': u'upcycle', u'id': 46428}, {u'name': u'Sewing for Beginners', u'urlkey': u'sewing-for-beginners', u'id': 50364}, {u'name': u'Home DIY', u'urlkey': u'home-diy', u'id': 61419}, {u'name': u'mending', u'urlkey': u'mending', u'id': 144273}, {u'name': u'Creative Repurposing', u'urlkey': u'creative-repurposing', u'id': 861172}]"
